id,latitude,longitude,population_density,avg_winter_low_temp,introduced,prop_forest,prop_developed,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,prop_developed_scaled,RAC
135107272,43.48592,-80.536575,2145.5,-7,N,0.05743825387708214,0.00315910396323951,gray,0,-0.11372705069927132,-0.955334938806756,-0.4055904369398618,-0.3925893119624097,0.28038670001159305
135193031,43.4727461111,-80.5336097222,607.70001220703125,-7,N,0.02236879839403498,0,gray,0,-0.43939910339563704,-0.955334938806756,-0.5907924646058623,-0.42078283128782024,0.28199824044301053
135248017,28.9532890997,-80.8809265,413.2000122070313,12,N,0.18694531920984828,0.17463498425422272,gray,0,-0.4805899050293089,1.9671579150556913,0.2783372364822709,1.1377523928632982,-0.18040462402504473
135372831,38.8957666667,-77.1544583333,3102.199951171875,0.25,N,0.02897303499713138,0,gray,0,0.08888085630157301,0.15982680806180943,-0.5559154471776694,-0.42078283128782024,-0.10255362961465964
135375205,42.3529866667,-71.0682916667,7633.7001953125,-3,N,0.00602236879839403,0.05420131918554631,gray,0,1.048552463804565,-0.34007328536203024,-0.6771180680266422,0.06293848896699641,-0.45006110199675736
135580111,41.8151027778,-87.5970555556,4902.39990234375,-4.75,N,0,0.2076283338112991,gray,0,0.4701234223152821,-0.6092502587440978,-0.7089222377079822,1.432202543656557,-0.4720380668309321
135585618,41.8152280509,-87.5970220193,4902.39990234375,-4.75,N,0,0.21379507727532915,gray,0,0.4701234223152821,-0.6092502587440978,-0.7089222377079822,1.4872378331092315,-0.4720374735244077
135606612,38.8462236,-77.3063733,1233.800048828125,-0.25,N,0.04378935317687464,0,gray,0,-0.30680495218075715,0.08291910138121869,-0.4776703723215869,-0.42078283128782024,-0.24210069262712874
136538147,42.1055415167,-87.9398955884,843.79998779296875,-5.75,N,0.0011451474377326,0,gray,0,-0.3893983462744282,-0.7630656721052792,-0.7028747064725136,-0.42078283128782024,-0.26271242919846355
136685006,40.097625,-82.7838633333,574.9000244140625,-3.5,N,0.14905226881102815,0,gray,0,-0.4463454159445678,-0.41698099204262096,0.07822378528529034,-0.42078283128782024,-0.2721535228936317
136882591,44.9811383333,-93.1886283333,3055.300048828125,-11.25,N,0,0,gray,0,0.07894849345283272,-1.6090504455917771,-0.7089222377079822,-0.42078283128782024,-0.7341545304090746
137183881,49.293495,-123.1483833333,952,2.5,Y,0,0,melanic,1,-0.3664839748627023,0.5059114881244676,-0.7089222377079822,-0.42078283128782024,0.6860301192976662
137708849,44.2383321626,-79.805171644,23,-8.75,N,0.5724953329184816,0,gray,0,-0.5632256443623482,-1.2245119121888235,2.314429423314506,-0.42078283128782024,0.8262875074184357
137738057,32.0696611667,-81.0949695,3800.199951171875,7.5,N,0,0,gray,0,0.2367018308018452,1.2749885549303748,-0.7089222377079822,-0.42078283128782024,-0.1601872062043193
137893653,40.0378755,-76.3055144,6415.2998046875,-1.75,N,0,0,gray,0,0.7905221871946799,-0.14780401866055343,-0.7089222377079822,-0.42078283128782024,-0.4478730736340662
138050032,40.7738333333,-73.97428,4688.5,-0.5,N,0.00143348623853211,0.00229357798165137,gray,0,0.42482415009470015,0.04446524804092333,-0.7013519873476425,-0.40031372488851263,-0.24784673182067163
138063728,44.3552011989,-79.8950958498,2.5999999046325684,-7.75,N,0.19481284998526377,0.004420866489832,melanic,1,-0.5675459135513208,-1.070696498827642,0.3198857188371217,-0.3813286739487481,0.6406431613772323
138073362,36.8936569271,-88.2034328932,35.400001525878906,0.5,N,0.5975223278594065,0.32209737827715357,gray,0,-0.5605995980738664,0.19828066140210476,2.4465971500614083,2.4537850097175684,-0.5340518026444979
138073610,42.3727588237,-71.1441908155,214.8999938964844,-3.5,N,0.00376375217139548,0.04140127388535031,gray,0,-0.5225854665623846,-0.41698099204262096,-0.6890458374567232,-0.05129590430923544,-0.44921166324579653
138074368,42.3479900458,-72.6064837445,82.4000015258789,-7,N,0.03923253150057274,0.1698167239404353,gray,0,-0.5506460367536475,-0.955334938806756,-0.5017349779032578,1.0947516822654983,-0.2873898031384195
139204002,28.6410979996,-80.7356662724,0,12.25,N,0.06167527251864601,0.01376936316695352,gray,0,-0.5680965360722425,2.0056117683959864,-0.3832147133117717,-0.2978977312520457,-0.16313973864698017
139435316,43.3730130003,-80.3120144784,2188.10009765625,-6.25,N,0.01176808266360505,0.06257175660160735,melanic,1,-0.10470529145950969,-0.8399733787858699,-0.646774914887577,0.1376407120650476,0.3622714729188574
139446367,43.3730130003,-80.3120144784,2188.10009765625,-6.25,N,0.01176808266360505,0.06257175660160735,gray,0,-0.10470529145950969,-0.8399733787858699,-0.646774914887577,0.1376407120650476,0.3686457741304555
139455220,43.3730130003,-80.3120144784,2188.10009765625,-6.25,N,0.01176808266360505,0.06257175660160735,melanic,1,-0.10470529145950969,-0.8399733787858699,-0.646774914887577,0.1376407120650476,0.3622714729188574
139642870,49.2444632972,-122.9332976065,480.1000061035156,2,Y,0.00916808149405772,0.07809847198641766,melanic,1,-0.4664219647831189,0.4290037814438769,-0.6605055383575339,0.2762093553751913,0.6940798260434534
