,database,inat.id,year,latitude,longitude,morph.class
31068,iNaturalist,37565464,2020,38.9419057339,-77.3542482953,gray
31069,iNaturalist,37565520,2020,39.0610055,-77.368745,gray
31070,iNaturalist,37566364,2020,29.6414031982,-82.3495635986,gray
31071,iNaturalist,37567702,2020,43.3600392819,-80.3634299409,melanic
31072,iNaturalist,37568415,2020,34.1358945,-81.1592028333,gray
31073,iNaturalist,37569339,2020,40.89313,-74.008025,gray
31075,iNaturalist,37569828,2020,28.67507808,-81.32635419,gray
31076,iNaturalist,37572722,2020,38.9134536,-77.3170066,gray
31077,iNaturalist,37573630,2020,28.6400307778,-80.7361457331,gray
31079,iNaturalist,37574972,2020,34.161904951,-80.896333278,gray
31080,iNaturalist,37576126,2020,37.3707583333,-122.2217716667,gray
31083,iNaturalist,37584822,2020,44.2725183333,-76.5375266667,gray
31084,iNaturalist,37586079,2020,43.0765527534,-87.8795785737,gray
31085,iNaturalist,37586764,2020,42.1415572429,-72.3044102763,gray
31086,iNaturalist,37588017,2020,33.9176421405,-84.6227066964,gray
31087,iNaturalist,37588383,2020,45.5141963552,-122.6876613345,gray
31088,iNaturalist,37589152,2020,39.7560231733,-89.6980560198,gray
31089,iNaturalist,37589363,2020,40.4511414841,-79.951460911,gray
31090,iNaturalist,37590571,2020,45.36368746,-71.84476419,gray
31091,iNaturalist,37590881,2020,43.0078435988,-81.2622944241,gray
31092,iNaturalist,37592029,2020,38.9123337004,-76.9405393153,gray
31093,iNaturalist,37593538,2020,45.0503939528,-83.4438102643,gray
31095,iNaturalist,37594782,2020,43.6455574036,-79.4658355713,melanic
31096,iNaturalist,37598625,2020,28.0808067322,-82.6881942749,gray
31097,iNaturalist,37601102,2020,34.93268333,-83.84632833,gray
31099,iNaturalist,37601987,2020,35.9508711738,-83.6942934911,gray
31101,iNaturalist,37603672,2020,38.91452833,-77.06214167,melanic
31102,iNaturalist,37603781,2020,33.6889908,-86.6833228,gray
31105,iNaturalist,37604365,2020,39.8481292725,-75.0007171631,gray
31107,iNaturalist,37614254,2020,36.59147167,-82.292145,gray
31108,iNaturalist,37615771,2020,44.324461183,-74.1271464177,gray
31109,iNaturalist,37615821,2020,43.0365242916,-76.138333117,gray
31110,iNaturalist,37616022,2020,41.4474171354,-72.7031929605,gray
31111,iNaturalist,37616273,2020,38.831910067,-77.052810586,gray
31112,iNaturalist,37617641,2020,37.44967329,-77.66495071,gray
31113,iNaturalist,37617905,2020,35.0296945,-85.136125,gray
31114,iNaturalist,37618230,2020,40.142672204,-74.9851961553,gray
31115,iNaturalist,37618865,2020,42.9819768056,-82.3713169167,melanic
31116,iNaturalist,37619589,2020,42.3526763823,-71.0700600129,gray
